"","Flavor"
"2484","""I don't think they'll appreciate my . . . adjustments."" —Karavin, renegade saboteur"
"2485","Red sky at night, dragon's delight."
"2486","After countless attacks on the Salt Road where it passes through the frozen tundra, the Abzan began to refer to the area as Atarka territory rather than Temur lands."
"2487","Bind the mind rather than the wrist, and you stop the intent to harm before it starts."
"2488","The goblins have forty-two different words for ""ow."""
"2489","""He bears the marks of ages upon his skin, memories of dreams long dead and best left buried."" —The Seer's Parables"
"2490","""You're willing to die for your homeland. I'm willing to kill for it."" —Latulla, Keldon overseer"
"2491","Kamahl dreams of storms of fire."
"2492","Things born in magma are always angry."
"2493","There is much talk about the art of creation. What about the art of destruction?"
"2494","It's hard to argue with a force made of divine will."
"2495","""You just need the right incentive to fulfill my dreams."""
"2496","A devil's hands are never idle."
"2497","""The city is overrun. I would say burn it to the ground, but that won't be necessary."" —Inquisitor Delmund"
"2498","On expeditions through Ashmouth, the hunters of Devilthorn Lodge rely on the cleverness of foxes to counteract the mischief of devils."
"2499","Her eyes blaze with the strength of twenty shields. Every glance is a salvation."
"2500","""Mana lurks in all things, even in the depths of one's own heart."""
"2501","The heart's courage is the soul's guardian."
"2502","Deep within Eiganjo Castle lay the Palace of Infinite Halls, a seemingly endless network of corridors once guarded by a seemingly endless legion of samurai."
"2503","When Rhonas fell, his followers stirred with newfound strength—a final gift from a god they thought indomitable."
"2504","His twisted mind concluded that if he was what he ate, and he wanted to stay human, . . ."
"2505","Ob Nixilis had prepared for every eventuality—except Chandra Nalaar."
"2506","""Full fathom five thy father lies;/ Of his bones are coral made;/ Those are pearls that were his eyes;/ Nothing of him that doth fade,/ But doth suffer a sea-change/ Into something rich and strange."" —William Shakespeare, The Tempest"
"2507","""Even your shadow is too foul to tolerate."""
"2508","Their arrival is heralded by the deafening hum of ten thousand wings. Their departure is marked by the silence of the dead."
"2509","""Feel the burn of the mists. Master them. They will devour your enemies."" —Geth, keeper of the Vault"
"2510","""By Avacyn's decree, we shall cleanse these relics of their demonic past."""
"2511","The notes themselves are irrelevant. The music's effect, however, is worth ten armies."
"2512","A prayer to bring demons to their knees."
"2513","""Goddess, grant us light to banish the world's shadows."" —Prayer to Kamsa"
"2514","Discipline wears many robes."
"2515","The Cho-Arrim fought Mercadia's decadence with more than just swords."
"2516","Only in dew from Oona herself is there clarity enough to see a victim's mind."
"2517","Baral's spies always have the latest technology."
"2518","Greven il-Vec lifted Vhati off his feet. ""The fall will give you time to think on your failure."""
"2519","""The bolts of our ballistae smashed into the monstrous thing, but our hopes died in our chests as its gears continued turning."" —Sevti Mukul, The Fall of Alsoor"
"2520","""There are some secrets so dark no human mind should ever contain them. Interested?"" —Nefarox, Overlord of Grixis"
"2521","The wise always keep an ear open to the whispers of power."
"2522","""I have seen the true path. I will not warm myself by the fire—I will become the flame."" —Lim-Dûl, the Necromancer"
"2523","""That such delicate creatures could become so powerful in the embrace of winter is yet more proof that I am right."" —Heidar, Rimewind master"
"2524","""A pretty toy. Now show me its tactical applications."" —Telim'Tor"
"2525","""I take no pleasure in your suffering, but it is necessary. Once you accept your fate you'll find eternity more tolerable."""
"2526","""In our war Heliod gave mortals some favor, yet other times he withheld aid. Are we still no more than game pieces to him?""—Polyxene the Doubter"
"2527","""I refuse to let the folly of mortals endanger the home I made for them."""
"2528","""Knowledge is cruel. It will break your heart and test your allegiances. Are you certain you want this curse?"""
"2529","Iroas and Mogis are as different in appearance as they are in personality."
"2530","""Play the song of he who delivered us. Play the song of Feroz."" —Onatah, Anaba Shaman"
"2531","""When the time comes, let go. Nothing lasts forever."""
"2532","""The hive shimmered, and its walls seemed a living mirror."" —Hastric, Thunian scout"
"2533","Archaeologists don't just dig in the dirt. They excavate time, scraping off the years grain by grain."
"2534","Everything seems a little less ferocious when it's running from a house cat."
"2535","""Dangerous to recognize. Deadly not to."" —Lazav"
"2536","It waits in the chill of the undercity, holding nameless secrets for those who dare to touch it."
"2537","Other guilds demand tolls from those who travel their territories, but not House Dimir. It takes its share secretly, one coin purse at a time."
"2538","""Fear not. Your life will not go unlived."""
"2539","In the cold corridors of the undercity, misinformation unfurls from Duskmantle like a spreading stain."
"2540","A key that slips through every lock."
"2541","An emblem of a secret guild, the Dimir insignia is seen only by its own members—and the doomed."
"2542","Legend has it that the world was hatched from a dingus egg."
"2543","""A sharp conscience is the weapon of the soul."" —Hanna, Weatherlight navigator"
"2544","Vengeance in stampede form."
"2545","""Aye, the foul beast chomped me, but I got away. You'd best believe when I find it again, it won't get away so easy."""
"2546","If you're in the way of a ceratops charge and you're made of mere flesh and bone, then you're not really in the way."
"2547","""Welcome to the Dimir Public Offices. Not responsible for death or loss of property. Basement off-limits."" —Sign outside Dinrova Building"
"2548","""Our emissaries are gifted negotiators."" —Alesha, Who Smiles at Death"
"2549","Orcs are happiest under captains who steer toward battle. Orcs of the Dire Fleet are downright jovial."
"2550","Among the pirates of the Brazen Coalition, the only thing more dangerous than failure is success."
"2551","The buccaneers scaled the sides of buildings as easily as they boarded enemy ships."
"2552","His fists fume with the decay of death, each strike a plague on the hearts of his enemies."
"2553","Though its mind has long since rotted away, it wields a sword with deadly skill."
"2554","""At least this one still has arms and legs. Well, most of its legs."" —Enslow, ghoulcaller of Nephalia"
"2555","""It's amazing how scared a city kid can get at a dog. Now, of course, I'd cross Terisiare alone, and keep no watch if I had a pack of greys hanging on my flanks as I went."" —Oddveig Ulfsson, caravan scout"
"2556","Few of Rath's rivers follow a steady course, so many new channels are carved for them."
"2557","""The foul entities of the Uuserk swamp had never before dared to spread their influence to the very heart of Zhalfir."" —Hakim, Loreweaver"
"2558","""How easily your flames are quenched."" —Baral, Chief of Compliance"
"2559","If at first you don't succeed, run away and hide."
"2560","""Baral took my family from me back then. I'd do anything to face him now."" —Chandra Nalaar"
"2561","""Be thankful I left you your clothes."""
"2562","""Lord Bolas has shown me how each miserable little life holds untold resources."""
"2563","Dread was as foreign to her as the landscape ahead."
"2564","The demon Griselbrand dared to stand against Avacyn, earning him the loathing of thousands and the admiration of a few."
"2565","When no birds are available, Kangee's disciples fill the sky with anything that's willing to fight."
"2566","A religious order for religious order."
"2567","The lantern he carried did not light his way—it signaled his approach."
"2568","""You pray to Freyalise, but she cannot hear your pleas. It is Tevesh Szat who will claim your soul."""
